External Library Name, Link to License, License Name, Binaries using the license, URL
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, ./emulator lib64/libshadertranslator.dylib gfxstream_backend.dylib, https://chromium.googlesource.com/angle/angle
bios, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/README, LGPL-2.0-or-later, ./emulator, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/
Qt Core, https://doc.qt.io/qt-6.5/qtCore-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu/darwin-aarch64/qemu-system-aarch64 ./crashreport ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
libvpx, https://chromium.googlesource.com/webm/libvpx/+/refs/heads/master/LICENSE, BSD-3-Clause, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://chromium.googlesource.com/webm/libvpx/
grpc++_reflection, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qsn ./qemu/darwin-aarch64/qemu-system-aarch64-headless ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu/darwin-aarch64/qemu-system-aarch64 ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
angle-renderer, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, lib64/gles_angle/libswiftshader_libGLESv2.dylib lib64/gles_angle/libswiftshader_libEGL.dylib ./emulator lib64/gles_angle/libEGL.dylib lib64/gles_angle/libvk_swiftshader.dylib lib64/gles_angle/libGLESv2.dylib, https://chromium.googlesource.com/angle/angle
upb, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
libpng, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev/LICENSE, libpng, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev
protobuf, BSD-3-Clause, BSD-3-Clause, ./qemu/darwin-aarch64/qemu-system-aarch64-headless libprotobuf.dylib emugl_common.dylib gfxstream_backend.dylib android-emu-metrics.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check android-emu-protos.dylib android-emu-shared.dylib ./nimble_bridge ./qemu-img ./emulator ./qemu/darwin-aarch64/qemu-system-aarch64 android-emu-tracing.dylib ./qsn ./crashreport ./qemu/darwin-aarch64/qemu-system-armel, 
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
mynewt-nimble, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/mynewt-nimble/LICENSE, Apache=2.0, ./nimble_bridge, 
utf8_range_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
vulkan-sdk, https://vulkan.lunarg.com/software/license/vulkan-1.2.162.1-linux-license-summary.txt, Apache-2.0, ./emulator lib64/vulkan/libvulkan.dylib lib64/vulkan/libMoltenVK.dylib lib64/vulkan/libvk_swiftshader.dylib, https://vulkan.lunarg.com/sdk/home
